"power","freq"
"1",338.331240923711,0
"2",263.466717984964,0
"3",298.369052397972,1
"4",382.335876553521,1
"5",285.291487373806,1
"6",416.034766342661,2
"7",352.443459377014,2
"8",545.159930395408,2
"9",414.95435787565,2
"10",548.447104791218,3
"11",511.026899931032,3
"12",407.838577359083,3
"13",350.695242872681,4
"14",371.704760649533,4
"15",624.157010255309,4
"16",362.635295261408,5
"17",621.036223139791,5
"18",598.40521063088,5
"19",594.782559039338,5
"20",563.595568240207,6
"21",599.460155529265,6
"22",624.310095214388,6
"23",683.351727161235,7
"24",528.126011843932,7
"25",662.626345226367,7
"26",618.341673582179,8
"27",524.812969544454,8
"28",638.238210199302,8
"29",648.384188767445,8
"30",786.398718043064,9
"31",779.370938086679,9
"32",530.531718465129,9
"33",752.940910547852,10
"34",727.902030963732,10
"35",526.843201859853,10
"36",858.236453574151,11
"37",607.31353496068,11
"38",773.14080082262,11
"39",494.995841334233,11
"40",813.18665597518,12
"41",541.772745524037,12
"42",863.403989058663,12
"43",641.817247761169,13
"44",968.92393489475,13
"45",857.688785260809,13
"46",684.192137353237,14
"47",605.342265825234,14
"48",742.864834164629,14
"49",638.152033685427,14
"50",1005.40239422725,15
"51",494.982229930575,15
"52",909.759528515892,15
"53",731.273812094251,16
"54",1066.29064745321,16
"55",869.98864134414,16
"56",772.828612532707,17
"57",929.313537511577,17
"58",802.485894166508,17
"59",823.58962610778,17
"60",827.403479699517,18
"61",900.688718126249,18
"62",799.883748207666,18
"63",852.296194950715,19
"64",815.536165397512,19
"65",895.606702883297,19
"66",827.654966668852,20
"67",937.790409140091,20
"68",916.413170383033,20
"69",1057.64165889554,20
"70",866.756886452162,21
"71",1160.37495290386,21
"72",851.32929645628,21
"73",944.196404068242,22
"74",871.349560855179,22
"75",946.252213752555,22
"76",1095.49320805778,23
"77",917.834343153163,23
"78",978.126684967774,23
"79",826.490493244279,23
"80",910.000150570827,24
"81",910.85881889557,24
"82",970.6206975383,24
"83",1101.85098134159,25
"84",1170.89144607973,25
"85",1008.4110595078,25
"86",1329.07992751681,26
"87",868.734608320245,26
"88",1193.94566100485,26
"89",912.690516841091,26
"90",1313.23845929039,27
"91",765.337850855018,27
"92",928.016727239819,27
"93",844.08234193751,28
"94",909.022430749481,28
"95",1188.77601695294,28
"96",1031.16366988418,29
"97",1172.8973064372,29
"98",1129.19536266919,29
"99",1277.25740268281,29
"100",1385.40393662481,30
"101",1199.62127369716,30
"102",1446.94929190153,30
"103",1004.66679397319,31
"104",1366.06384515253,31
"105",1178.47862569242,31
"106",965.719437941642,32
"107",1333.52738988381,32
"108",1131.19983542432,32
"109",1098.8386016118,32
"110",1183.05891839345,33
"111",1309.20669180273,33
"112",1521.27044880307,33
"113",1165.84473884988,34
"114",1255.33438322104,34
"115",1439.56298653293,34
"116",1466.87384180243,35
"117",1129.16820042954,35
"118",1475.46175630807,35
"119",1279.41006021425,35
"120",1044.47670131562,36
"121",1642.05744238996,36
"122",1415.73161180149,36
"123",1524.64966217312,37
"124",1582.86736969984,37
"125",1499.10019153002,37
"126",1449.35627033748,38
"127",1223.74557405361,38
"128",1543.8802663191,38
"129",1413.282028309,38
"130",1055.59818085561,39
"131",1332.75448226398,39
"132",1525.85957704174,39
"133",1640.11581339924,40
"134",1576.70599321994,40
"135",1038.28123278684,40
"136",976.671993174205,41
"137",1689.18026020269,41
"138",1656.73273866588,41
"139",1757.94442056579,41
"140",1666.96913834553,42
"141",1388.81689538592,42
"142",1474.80518305924,42
"143",1746.0628085767,43
"144",1819.76025311189,43
"145",1462.17169271796,43
"146",1239.10475515659,44
"147",1793.5844697565,44
"148",1539.12249970132,44
"149",1390.48708906587,44
"150",1775.13347522902,45
"151",2128.81058173905,45
"152",1395.30859131535,45
"153",1618.70724678561,46
"154",1642.51661107975,46
"155",1823.43169893592,46
"156",1609.22207385481,47
"157",1520.01352479027,47
"158",1556.0149452352,47
"159",1773.47593333976,47
"160",1722.22264275735,48
"161",1924.13905036973,48
"162",1643.79410170919,48
"163",1881.59416792266,49
"164",1634.62604797295,49
"165",1564.28246631463,49
"166",1611.09841575479,50
"167",1737.39932442797,50
"168",1900.1039185517,50
"169",2188.80724148052,50
"170",1714.56016917098,51
"171",2191.54599209428,51
"172",2067.81410266994,51
"173",1636.8263132311,52
"174",1520.32216066139,52
"175",1975.34134340112,52
"176",1719.05681591849,53
"177",1635.76664830616,53
"178",2429.16126205031,53
"179",1849.53535430595,53
"180",1834.44532727038,54
"181",1965.25675429241,54
"182",1729.27175375136,54
"183",1741.89070447162,55
"184",2004.51727190907,55
"185",2210.24268268013,55
"186",1999.12753126945,56
